<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,20180219,100500,137.3600000,138.1900000,137.1300000,138.0000000,1616850
GAZP,5,20180219,101000,138.0000000,138.1100000,137.7800000,137.8100000,301340
GAZP,5,20180219,101500,137.8100000,138.0000000,137.7600000,137.8500000,91770
GAZP,5,20180219,102000,137.8500000,138.0000000,137.6200000,137.7000000,141350
GAZP,5,20180219,102500,137.6400000,137.8100000,137.4100000,137.7400000,294280
GAZP,5,20180219,103000,137.7000000,137.9400000,137.6300000,137.7400000,82660
GAZP,5,20180219,103500,137.7000000,137.8500000,137.7000000,137.8500000,68910
GAZP,5,20180219,104000,137.8500000,137.9400000,137.6100000,137.8800000,121740
GAZP,5,20180219,104500,137.9000000,138.0000000,137.9000000,137.9700000,245910
GAZP,5,20180219,105000,137.9700000,138.0000000,137.9200000,137.9900000,109680
GAZP,5,20180219,105500,137.9900000,138.0500000,137.9700000,138.0200000,210890
GAZP,5,20180219,110000,138.0200000,138.2000000,138.0200000,138.0600000,170510
GAZP,5,20180219,110500,138.0600000,138.0900000,137.8200000,137.8800000,458820
GAZP,5,20180219,111000,137.8800000,138.0000000,137.8000000,137.9100000,261530
GAZP,5,20180219,111500,137.9100000,137.9800000,137.7700000,137.8000000,371690
GAZP,5,20180219,112000,137.8000000,137.8500000,137.6700000,137.8400000,138220
GAZP,5,20180219,112500,137.8100000,137.8900000,137.7700000,137.8500000,143090
GAZP,5,20180219,113000,137.8300000,138.0000000,137.8200000,137.9800000,62610
GAZP,5,20180219,113500,137.9800000,137.9800000,137.8500000,137.9800000,72880
GAZP,5,20180219,114000,137.9800000,137.9800000,137.9500000,137.9800000,47900
GAZP,5,20180219,114500,137.9700000,137.9700000,137.8200000,137.9100000,63330
GAZP,5,20180219,115000,137.9000000,137.9200000,137.6300000,137.8200000,87110
GAZP,5,20180219,115500,137.7700000,137.9600000,137.7000000,137.7500000,68090
GAZP,5,20180219,120000,137.7400000,137.9300000,137.7000000,137.9300000,14100
GAZP,5,20180219,120500,137.9300000,137.9300000,137.4900000,137.7100000,205770
GAZP,5,20180219,121000,137.7100000,137.7500000,137.5000000,137.5000000,91230
GAZP,5,20180219,121500,137.5300000,137.6600000,137.4900000,137.6600000,51250
GAZP,5,20180219,122000,137.6600000,137.6600000,137.4700000,137.6500000,42790
GAZP,5,20180219,122500,137.6400000,137.8400000,137.6400000,137.7400000,103010
GAZP,5,20180219,123000,137.7400000,137.7900000,137.6400000,137.7700000,58550
GAZP,5,20180219,123500,137.7700000,137.7700000,137.6400000,137.7600000,60820
GAZP,5,20180219,124000,137.7700000,137.8400000,137.7100000,137.7600000,71190
GAZP,5,20180219,124500,137.7700000,137.8000000,137.7000000,137.7900000,108980
GAZP,5,20180219,125000,137.7900000,137.9000000,137.7100000,137.8500000,177900
GAZP,5,20180219,125500,137.8500000,137.8500000,137.6400000,137.7400000,120840
GAZP,5,20180219,130000,137.7500000,137.8700000,137.7000000,137.8000000,61910
GAZP,5,20180219,130500,137.8000000,137.9500000,137.7000000,137.8200000,330640
GAZP,5,20180219,131000,137.8300000,137.8900000,137.8000000,137.8700000,38620
GAZP,5,20180219,131500,137.8700000,137.9000000,137.7700000,137.8600000,44490
GAZP,5,20180219,132000,137.8600000,138.0500000,137.8600000,138.0000000,335120
GAZP,5,20180219,132500,137.9900000,138.0500000,137.9300000,138.0200000,34210
GAZP,5,20180219,133000,138.0200000,138.0600000,137.9300000,137.9900000,95210
GAZP,5,20180219,133500,137.9900000,138.0500000,137.9300000,138.0000000,62400
GAZP,5,20180219,134000,138.0000000,138.0500000,137.9900000,138.0500000,100090
GAZP,5,20180219,134500,138.0500000,138.1400000,138.0400000,138.1300000,148770
GAZP,5,20180219,135000,138.1100000,138.1400000,138.0100000,138.0600000,33910
GAZP,5,20180219,135500,138.0600000,138.0900000,138.0400000,138.0600000,14950
GAZP,5,20180219,140000,138.0500000,138.0600000,138.0200000,138.0300000,51320
GAZP,5,20180219,140500,138.0300000,138.1200000,138.0200000,138.1200000,45790
GAZP,5,20180219,141000,138.1200000,138.1400000,138.0400000,138.1300000,12930
GAZP,5,20180219,141500,138.1200000,138.4800000,138.1200000,138.4300000,279770
GAZP,5,20180219,142000,138.4400000,138.4700000,138.3300000,138.4400000,262720
GAZP,5,20180219,142500,138.4400000,138.4500000,138.3400000,138.3900000,133000
GAZP,5,20180219,143000,138.4200000,138.4400000,138.3700000,138.4000000,33370
GAZP,5,20180219,143500,138.4100000,138.4100000,138.1000000,138.2000000,168880
GAZP,5,20180219,144000,138.2000000,138.3600000,138.1900000,138.2500000,66450
GAZP,5,20180219,144500,138.2400000,138.3200000,138.2300000,138.3000000,41200
GAZP,5,20180219,145000,138.3000000,138.3000000,138.1000000,138.2400000,84510
GAZP,5,20180219,145500,138.2400000,138.3100000,138.1200000,138.2300000,113350
GAZP,5,20180219,150000,138.2300000,138.3400000,138.1000000,138.3400000,61650
GAZP,5,20180219,150500,138.3400000,138.4700000,138.3400000,138.4700000,162620
GAZP,5,20180219,151000,138.4700000,138.6200000,138.4400000,138.4900000,360590
GAZP,5,20180219,151500,138.4900000,138.7000000,138.4600000,138.6500000,218830
GAZP,5,20180219,152000,138.6600000,138.7000000,138.5200000,138.6800000,74890
GAZP,5,20180219,152500,138.6800000,138.7000000,138.5300000,138.6100000,48430
GAZP,5,20180219,153000,138.6100000,138.6300000,138.3900000,138.4600000,119210
GAZP,5,20180219,153500,138.4600000,138.5300000,138.3600000,138.4200000,85210
GAZP,5,20180219,154000,138.4200000,138.4800000,138.4000000,138.4400000,30470
GAZP,5,20180219,154500,138.4200000,138.4700000,138.1800000,138.4200000,187530
GAZP,5,20180219,155000,138.4000000,138.4300000,138.2600000,138.3100000,79350
GAZP,5,20180219,155500,138.2800000,138.3000000,138.1800000,138.2200000,73550
GAZP,5,20180219,160000,138.2200000,138.3700000,138.2200000,138.3500000,60660
GAZP,5,20180219,160500,138.3700000,138.4600000,138.3400000,138.4000000,41950
GAZP,5,20180219,161000,138.4000000,138.4400000,138.1200000,138.1500000,118520
GAZP,5,20180219,161500,138.1600000,138.1900000,138.1000000,138.1700000,79680
GAZP,5,20180219,162000,138.1700000,138.2000000,138.1400000,138.1800000,51660
GAZP,5,20180219,162500,138.1800000,138.3300000,138.1000000,138.3300000,167320
GAZP,5,20180219,163000,138.3300000,138.3300000,138.2500000,138.2800000,54910
GAZP,5,20180219,163500,138.2800000,138.2900000,138.1800000,138.2600000,50020
GAZP,5,20180219,164000,138.2600000,138.4200000,138.2600000,138.3000000,129050
GAZP,5,20180219,164500,138.3000000,138.4000000,138.2000000,138.4000000,130690
GAZP,5,20180219,165000,138.4000000,138.5100000,138.4000000,138.4900000,115580
GAZP,5,20180219,165500,138.5100000,138.5900000,138.4700000,138.4800000,56350
GAZP,5,20180219,170000,138.5000000,138.5800000,138.4000000,138.4400000,90750
GAZP,5,20180219,170500,138.4400000,138.4400000,138.2500000,138.3600000,49590
GAZP,5,20180219,171000,138.3700000,138.3700000,138.1200000,138.3000000,210820
GAZP,5,20180219,171500,138.3000000,138.3300000,138.1400000,138.2900000,65730
GAZP,5,20180219,172000,138.2900000,138.4200000,138.2600000,138.3900000,47240
GAZP,5,20180219,172500,138.4200000,138.5500000,138.4100000,138.5300000,49430
GAZP,5,20180219,173000,138.5300000,138.6000000,138.5200000,138.6000000,67940
GAZP,5,20180219,173500,138.6000000,138.6000000,138.2600000,138.3500000,159460
